code,year,amount
Import support (capital goods),1973,291886347
Industrial development,1973,200776443
Power generation/non-renewable sources,1973,27825666
Rail transport,1973,95792628
Telecommunications,1973,205122036
Air transport,1974,15256725
Import support (capital goods),1974,227194054
Industrial development,1974,153995109
Mineral/Metal prospection and exploration,1974,5135311
Power generation/non-renewable sources,1974,39880530
Power generation/renewable sources,1974,124861445
Rail transport,1974,42563758
Telecommunications,1974,180475251
Air transport,1975,15829434
Import support (capital goods),1975,282632241
Industrial development,1975,141256857
Mineral/Metal prospection and exploration,1975,11841107
Power generation/non-renewable sources,1975,33166434
Rail transport,1975,60080677
Telecommunications,1975,33166434
Import support (capital goods),1976,154515986
Industrial development,1976,180729570
Mineral/Metal prospection and exploration,1976,46994
Power generation/renewable sources,1976,258500419
Rail transport,1976,65859994
Social/ welfare services,1976,22193818
Telecommunications,1976,101268177
Air transport,1977,704628
Import support (capital goods),1977,253556338
Industrial development,1977,352523660
Mineral/Metal prospection and exploration,1977,20846552
Power generation/renewable sources,1977,348718518
Telecommunications,1977,132007996
Import support (capital goods),1978,18579093
Industrial development,1978,106052778
Power generation/non-renewable sources,1978,95676536
Power generation/renewable sources,1978,105991262
Social/ welfare services,1978,179918453
Telecommunications,1978,210273343
Air transport,1979,73420234
Import support (capital goods),1979,264125863
Industrial development,1979,308650682
Mineral/Metal prospection and exploration,1979,33750525
Rail transport,1979,57275683
Social/ welfare services,1979,13638901
Air transport,1980,3088274857
Industrial development,1980,816335780
Mineral/Metal prospection and exploration,1980,259987614
Power generation/non-renewable sources,1980,1584877308
Power generation/renewable sources,1980,110811408
Rail transport,1980,21776984
Social/ welfare services,1980,26972340
Telecommunications,1980,514178514
Air transport,1981,4768108479
Import support (capital goods),1981,40653634
Industrial development,1981,634174424
Mineral/Metal prospection and exploration,1981,713107244
Power generation/non-renewable sources,1981,1096016261
Power generation/renewable sources,1981,240636248
Rail transport,1981,230395196
Social/ welfare services,1981,644673
Telecommunications,1981,914341361
Air transport,1982,514466891
Import support (capital goods),1982,113498832
Industrial development,1982,1370602905
Mineral/Metal prospection and exploration,1982,1117571002
Power generation/non-renewable sources,1982,699994088
Power generation/renewable sources,1982,484434111
Rail transport,1982,302371098
Social/ welfare services,1982,31654720
Telecommunications,1982,224573780
Air transport,1983,218134010
Import support (capital goods),1983,86619358
Industrial development,1983,334406639
Mineral/Metal prospection and exploration,1983,513432426
Power generation/non-renewable sources,1983,211715759
Power generation/renewable sources,1983,25073823
Rail transport,1983,441780960
Social/ welfare services,1983,24671997
Telecommunications,1983,79964594
Air transport,1984,976488278
Import support (capital goods),1984,90227902
Industrial development,1984,1088866239
