,country,year,value
0,Australia,1973,46.285863
13,Australia,1974,26.950877
27,Australia,1975,77.691781
40,Australia,1976,27.71807
57,Australia,1977,72.648152
73,Australia,1978,47.483698
89,Australia,1979,9.763598
104,Australia,1980,-31.21847
119,Australia,1981,-729.222174
137,Australia,1982,7.858925
153,Australia,1983,7.388539
172,Australia,1984,3.698286
187,Australia,1985,6.929573
204,Australia,1986,25.229662
220,Australia,1987,18.309923
236,Australia,1988,1.75835
252,Australia,1989,163.270223
271,Australia,1990,93.432068
289,Australia,1991,518.306838
305,Australia,1992,-136.174067
322,Australia,1993,-41.704432
341,Australia,1994,-259.227185
360,Australia,1995,-256.495729
378,Australia,1996,80.468022
399,Australia,1997,99.085271
419,Australia,1998,-73.130323
439,Australia,1999,87.775767
458,Australia,2000,115.957719
478,Australia,2001,99.427776
502,Australia,2002,-651.647741
528,Australia,2003,94.571888
553,Australia,2004,17.25677
577,Australia,2005,28.92769
605,Australia,2006,27.058214
633,Australia,2007,13.864351
665,Australia,2008,18.754564
696,Australia,2009,17.680084
723,Australia,2010,32.806019
754,Australia,2011,41.545539
780,Australia,2012,55.649016
806,Australia,2013,67.265056
14,Austria,1974,24.126329
41,Austria,1976,12.981849
58,Austria,1977,2.608725
74,Austria,1978,27.058314
90,Austria,1979,2.480539
105,Austria,1980,-154.911688
120,Austria,1981,53.258611
138,Austria,1982,-58.318503
154,Austria,1983,17.235616
188,Austria,1985,87.348212
205,Austria,1986,15.801537
221,Austria,1987,0.077374
237,Austria,1988,0.400964
253,Austria,1989,18.299145
272,Austria,1990,3.458667
290,Austria,1991,43.662774
306,Austria,1992,7.690278
323,Austria,1993,-123.971486
342,Austria,1994,0.496076
361,Austria,1995,2.349112
379,Austria,1996,31.429517
400,Austria,1997,18.810672
420,Austria,1998,17.433736
440,Austria,1999,27.735866
459,Austria,2000,41.623882
479,Austria,2001,-107.064953
503,Austria,2002,-185.292701
529,Austria,2003,57.940744
554,Austria,2004,46.226742
578,Austria,2005,17.743081
606,Austria,2006,8.003253
634,Austria,2007,11.550522
666,Austria,2008,6.949094
697,Austria,2009,7.871776
724,Austria,2010,8.224524
755,Austria,2011,5.945013
781,Austria,2012,9.369281
807,Austria,2013,7.169039
1,Belgium,1973,39.251336
15,Belgium,1974,43.588598
28,Belgium,1975,38.863307
42,Belgium,1976,36.126619
59,Belgium,1977,35.853879
75,Belgium,1978,32.189217
91,Belgium,1979,30.801519
890,Belgium,1980,-147.8685
121,Belgium,1981,25.440169
155,Belgium,1983,46.243316
189,Belgium,1985,4.191839
254,Belgium,1989,183.930257
273,Belgium,1990,187.058124
307,Belgium,1992,470.688315
324,Belgium,1993,75.567601
343,Belgium,1994,26.867841
362,Belgium,1995,45.999593
380,Belgium,1996,25.987887
401,Belgium,1997,35.402467
421,Belgium,1998,25.11669
441,Belgium,1999,30.505209
460,Belgium,2000,32.342289
480,Belgium,2001,31.859079
504,Belgium,2002,63.495593
530,Belgium,2003,58.875247
555,Belgium,2004,52.561101
579,Belgium,2005,48.285276
607,Belgium,2006,58.458568
635,Belgium,2007,33.187081
667,Belgium,2008,53.059381
698,Belgium,2009,42.809116
725,Belgium,2010,41.446751
756,Belgium,2011,47.828984
782,Belgium,2012,35.76794
808,Belgium,2013,68.317348
834,Brazil,1973,-312.075045
844,Brazil,1974,-306.601048
852,Brazil,1975,-100.725686
859,Brazil,1976,-83.580485
866,Brazil,1977,-501.438883
875,Brazil,1978,-151.531351
882,Brazil,1979,-167.462062
891,Brazil,1980,-397.591374
909,Brazil,1981,-1019.510084
925,Brazil,1982,-577.695039
938,Brazil,1983,-129.429939
948,Brazil,1984,-643.593148
959,Brazil,1985,-1150.188786
972,Brazil,1986,-398.238987
983,Brazil,1987,-688.641987
993,Brazil,1988,-319.508348
1007,Brazil,1989,-470.795753
1020,Brazil,1990,-546.41016
1035,Brazil,1991,-1398.521154
1055,Brazil,1992,-269.771857
1072,Brazil,1993,-726.672442
1091,Brazil,1994,-2807.702721
1112,Brazil,1995,-2573.830958
1134,Brazil,1996,-1902.899155
1154,Brazil,1997,-2033.092975
1175,Brazil,1998,-1758.37421
1196,Brazil,1999,-1319.316622
1218,Brazil,2000,-1106.359401
1240,Brazil,2001,-1574.635711
1259,Brazil,2002,-1545.038937
1278,Brazil,2003,-779.392718
1298,Brazil,2004,-646.604536
1319,Brazil,2005,-723.697976
1326,Brazil,2006,-473.262403
636,Brazil,2007,-424.545761
668,Brazil,2008,-575.721347
1346,Brazil,2009,-783.901399
726,Brazil,2010,-1058.295902
1356,Brazil,2011,-1013.210831
1363,Brazil,2012,-2443.208137
1369,Brazil,2013,-703.04832
2,Canada,1973,437.928427
16,Canada,1974,68.502158
29,Canada,1975,93.027681
43,Canada,1976,116.287322
60,Canada,1977,38.957778
76,Canada,1978,100.516271
92,Canada,1979,80.241209
106,Canada,1980,-392.41089
122,Canada,1981,-1993.435063
139,Canada,1982,-82.23766
156,Canada,1983,148.016945
173,Canada,1984,538.313789
190,Canada,1985,146.523445
206,Canada,1986,392.105553
222,Canada,1987,331.152346
238,Canada,1988,149.433255
255,Canada,1989,93.899695
274,Canada,1990,146.349
291,Canada,1991,79.132048
308,Canada,1992,203.523019
325,Canada,1993,45.197662
344,Canada,1994,83.43599
363,Canada,1995,140.853583
381,Canada,1996,240.599471
402,Canada,1997,114.731583
422,Canada,1998,385.748294
442,Canada,1999,434.102951
461,Canada,2000,356.912625
481,Canada,2001,349.119993
505,Canada,2002,-345.356215
531,Canada,2003,154.336187
556,Canada,2004,172.189837
580,Canada,2005,66.617166
608,Canada,2006,60.308595
637,Canada,2007,62.686742
669,Canada,2008,75.809621
699,Canada,2009,74.116591
727,Canada,2010,66.543586
757,Canada,2011,49.79817
783,Canada,2012,59.322273
809,Canada,2013,54.784201
835,Chile,1973,-88.056078
845,Chile,1974,-257.689227
853,Chile,1975,-365.408442
860,Chile,1976,-155.551297
867,Chile,1977,-2.568149
876,Chile,1978,-4.418418
883,Chile,1979,-49.451759
892,Chile,1980,-17.218386
910,Chile,1981,-24.802202
926,Chile,1982,-25.718071
939,Chile,1983,-33.869655
949,Chile,1984,-314.012953
960,Chile,1985,-624.81134
973,Chile,1986,-123.522992
984,Chile,1987,-62.625327
994,Chile,1988,-73.33155
1008,Chile,1989,-152.22926
1021,Chile,1990,-260.281186
1036,Chile,1991,-575.85975
1056,Chile,1992,-686.092378
1073,Chile,1993,-246.885634
1092,Chile,1994,-98.616016
