,recipient,donor,coalesced_purpose_name,amount
45,Colombia,Austria,Rail transport,2814444.0
46,Colombia,Belgium,Industrial development,437122.0
47,Colombia,Belgium,Power generation/non-renewable sources,471552.0
48,Colombia,Canada,Industrial development,23245209.0
49,Colombia,Denmark,Industrial development,200450.0
50,Colombia,France,Air transport,19509180.0
51,Colombia,France,Industrial development,11935741.0
52,Colombia,France,Rail transport,187097740.0
53,Colombia,Germany,Air transport,15829434.0
54,Colombia,Germany,Industrial development,53036463.0
55,Colombia,Germany,Power generation/non-renewable sources,33166434.0
56,Colombia,Germany,Rail transport,191557984.0
57,Colombia,Italy,Air transport,12425310.0
58,Colombia,Italy,Industrial development,8956908.0
59,Colombia,Italy,Power generation/non-renewable sources,30399251.0
60,Colombia,Japan,Air transport,23.0
61,Colombia,Japan,Industrial development,161290.0
62,Colombia,Japan,Rail transport,26351.0
63,Colombia,Korea,Industrial development,344229.0
64,Colombia,Korea,Rail transport,58854.0
65,Colombia,Netherlands,Industrial development,2025344.0
66,Colombia,Spain,Air transport,470750.0
67,Colombia,Spain,Industrial development,3329991.0
68,Colombia,Switzerland,Industrial development,743149.0
69,Colombia,United Kingdom,Industrial development,1214104.0
70,Colombia,United Kingdom,Power generation/non-renewable sources,10098161.0
71,Colombia,United States,Air transport,221288646.0
72,Colombia,United States,Industrial development,789030171.0
73,Colombia,United States,Power generation/non-renewable sources,1530577061.0
74,Colombia,United States,Rail transport,154388.0
