,recipient,donor,coalesced_purpose_name,amount
136,Poland,Belgium,RESCHEDULING AND REFINANCING,797173879.0
137,Poland,Canada,Air transport,1476778.0
138,Poland,Canada,Industrial development,3662485.0
139,Poland,Canada,Power generation/non-renewable sources,56107.0
140,Poland,Finland,Industrial development,6313047.0
141,Poland,France,Industrial development,2174876.0
142,Poland,France,Rail transport,1262932.0
143,Poland,Germany,RESCHEDULING AND REFINANCING,13905028436.0
144,Poland,Italy,Industrial development,5914647.0
145,Poland,Italy,Rail transport,1342614.0
146,Poland,Sweden,Air transport,250129.0
147,Poland,Sweden,Industrial development,589007.0
148,Poland,Sweden,Rail transport,383.0
149,Poland,United Kingdom,Air transport,2702617.0
150,Poland,United Kingdom,Industrial development,37674165.0
151,Poland,United Kingdom,Rail transport,411633.0
152,Poland,United States,Air transport,815085967.0
153,Poland,United States,Industrial development,548534715.0
154,Poland,United States,Power generation/non-renewable sources,396007.0
