,recipient,donor,coalesced_purpose_name,amount
75,India,Australia,Industrial development,24434534.0
76,India,Australia,Power generation/non-renewable sources,3917484.0
77,India,Australia,Rail transport,2671116.0
78,India,Austria,Industrial development,7202447.0
79,India,Austria,Power generation/non-renewable sources,8081078.0
80,India,Belgium,Industrial development,223779.0
81,India,Belgium,Power generation/non-renewable sources,859652.0
82,India,Canada,Air transport,14224407.0
83,India,Canada,Industrial development,54685827.0
84,India,Canada,Power generation/non-renewable sources,19357050.0
85,India,Canada,Rail transport,159410.0
86,India,Denmark,Industrial development,160372258.0
87,India,Finland,Industrial development,31746338.0
88,India,France,Air transport,93048552.0
89,India,France,Industrial development,736412685.0
90,India,France,Power generation/non-renewable sources,238543251.0
91,India,France,Rail transport,165780050.0
92,India,Germany,Industrial development,1768993054.0
93,India,Germany,Power generation/non-renewable sources,1564258419.0
94,India,Germany,Rail transport,284985226.0
95,India,Italy,Industrial development,254284699.0
96,India,Japan,Industrial development,2540561929.0
97,India,Japan,Power generation/non-renewable sources,4087006797.0
98,India,Japan,Rail transport,11519785524.0
99,India,Kuwait,Industrial development,131175647.0
100,India,Kuwait,Power generation/non-renewable sources,149282062.0
101,India,Netherlands,Air transport,704628.0
102,India,Netherlands,Industrial development,50767936.0
103,India,Netherlands,Power generation/non-renewable sources,724396.0
104,India,Netherlands,Rail transport,42065271.0
105,India,Norway,Air transport,2316419.0
106,India,Norway,Industrial development,160646315.0
107,India,Norway,Power generation/non-renewable sources,322.0
108,India,Saudi Arabia,Rail transport,79371799.0
109,India,Spain,Air transport,6797785.0
110,India,Spain,Industrial development,1386496.0
111,India,Spain,Rail transport,19497.0
112,India,Sweden,Industrial development,12572753.0
113,India,Sweden,Power generation/non-renewable sources,26060699.0
114,India,Sweden,Rail transport,4306879.0
115,India,Switzerland,Industrial development,76369785.0
116,India,United Kingdom,Air transport,226060281.0
117,India,United Kingdom,Industrial development,141881911.0
118,India,United Kingdom,Power generation/non-renewable sources,621381168.0
119,India,United Kingdom,Rail transport,214915085.0
120,India,United States,Air transport,2273859378.0
121,India,United States,Industrial development,1295117393.0
122,India,United States,Power generation/non-renewable sources,1518862446.0
123,India,United States,Rail transport,35997362.0
185,Thailand,Australia,Air transport,75135.0
186,Thailand,Australia,Industrial development,26897.0
187,Thailand,Australia,Power generation/non-renewable sources,270795.0
188,Thailand,Australia,Rail transport,36367087.0
189,Thailand,Austria,Industrial development,2281844.0
190,Thailand,Belgium,Air transport,125252.0
191,Thailand,Belgium,Industrial development,3765246.0
192,Thailand,Belgium,Rail transport,430774.0
193,Thailand,Canada,Air transport,443224.0
194,Thailand,Canada,Industrial development,70008809.0
195,Thailand,Canada,Power generation/non-renewable sources,26416174.0
196,Thailand,Denmark,Industrial development,7334447.0
197,Thailand,Denmark,Power generation/non-renewable sources,593723.0
198,Thailand,Denmark,Rail transport,5010773.0
199,Thailand,Finland,Industrial development,58111179.0
200,Thailand,France,Air transport,638493.0
201,Thailand,France,Industrial development,23981834.0
202,Thailand,France,Power generation/non-renewable sources,9766637.0
203,Thailand,France,Rail transport,109211256.0
204,Thailand,Germany,Industrial development,166368356.0
205,Thailand,Germany,Power generation/non-renewable sources,54313899.0
206,Thailand,Germany,Rail transport,162391210.0
207,Thailand,Italy,Rail transport,1488852.0
208,Thailand,Japan,Air transport,2648319527.0
209,Thailand,Japan,Industrial development,1348021971.0
210,Thailand,Japan,Power generation/non-renewable sources,22364340.0
211,Thailand,Japan,Rail transport,5249205847.0
212,Thailand,Korea,Air transport,52335.0
213,Thailand,Korea,Industrial development,1096198.0
214,Thailand,Korea,Power generation/non-renewable sources,109423.0
215,Thailand,Korea,Rail transport,111908.0
216,Thailand,Kuwait,Power generation/non-renewable sources,65310902.0
217,Thailand,Netherlands,Industrial development,13813129.0
218,Thailand,Norway,Air transport,60502.0
219,Thailand,Norway,Industrial development,6304303.0
220,Thailand,Saudi Arabia,Power generation/non-renewable sources,95676536.0
221,Thailand,Spain,Industrial development,32435.0
222,Thailand,Sweden,Industrial development,13259316.0
223,Thailand,Switzerland,Power generation/non-renewable sources,6063103.0
224,Thailand,United Kingdom,Industrial development,123175026.0
225,Thailand,United Kingdom,Rail transport,12874688.0
226,Thailand,United States,Air transport,1378790278.0
227,Thailand,United States,Industrial development,1460262364.0
228,Thailand,United States,Power generation/non-renewable sources,619621837.0
229,Thailand,United States,Rail transport,18742.0
0,Brazil,Austria,Industrial development,5167098.0
1,Brazil,Belgium,Industrial development,1152172.0
2,Brazil,Belgium,RESCHEDULING AND REFINANCING,95301312.0
3,Brazil,Canada,Industrial development,29748658.0
4,Brazil,Canada,Power generation/non-renewable sources,6054352.0
5,Brazil,Canada,Rail transport,17693.0
6,Brazil,France,Rail transport,111245166.0
7,Brazil,Germany,Industrial development,82355164.0
8,Brazil,Germany,Rail transport,39749314.0
9,Brazil,Italy,Industrial development,780657.0
10,Brazil,Italy,Power generation/non-renewable sources,15677.0
11,Brazil,Japan,Air transport,100165.0
12,Brazil,Japan,Industrial development,301942282.0
13,Brazil,Japan,Rail transport,1249130.0
14,Brazil,Korea,Industrial development,123207.0
15,Brazil,Norway,Industrial development,80831.0
16,Brazil,Spain,Air transport,140677.0
17,Brazil,Spain,Industrial development,1110417.0
18,Brazil,Spain,Rail transport,140375.0
19,Brazil,Switzerland,Industrial development,1034972.0
20,Brazil,United Kingdom,Industrial development,39174808.0
21,Brazil,United Kingdom,Power generation/non-renewable sources,98816805.0
22,Brazil,United States,Air transport,3456194517.0
23,Brazil,United States,Industrial development,1785108528.0
24,Brazil,United States,Power generation/non-renewable sources,999174363.0
25,Brazil,United States,Rail transport,309560040.0
45,Colombia,Austria,Rail transport,2814444.0
46,Colombia,Belgium,Industrial development,437122.0
47,Colombia,Belgium,Power generation/non-renewable sources,471552.0
48,Colombia,Canada,Industrial development,23245209.0
49,Colombia,Denmark,Industrial development,200450.0
50,Colombia,France,Air transport,19509180.0
51,Colombia,France,Industrial development,11935741.0
52,Colombia,France,Rail transport,187097740.0
53,Colombia,Germany,Air transport,15829434.0
54,Colombia,Germany,Industrial development,53036463.0
55,Colombia,Germany,Power generation/non-renewable sources,33166434.0
56,Colombia,Germany,Rail transport,191557984.0
57,Colombia,Italy,Air transport,12425310.0
58,Colombia,Italy,Industrial development,8956908.0
59,Colombia,Italy,Power generation/non-renewable sources,30399251.0
60,Colombia,Japan,Air transport,23.0
61,Colombia,Japan,Industrial development,161290.0
62,Colombia,Japan,Rail transport,26351.0
63,Colombia,Korea,Industrial development,344229.0
64,Colombia,Korea,Rail transport,58854.0
65,Colombia,Netherlands,Industrial development,2025344.0
66,Colombia,Spain,Air transport,470750.0
67,Colombia,Spain,Industrial development,3329991.0
68,Colombia,Switzerland,Industrial development,743149.0
69,Colombia,United Kingdom,Industrial development,1214104.0
70,Colombia,United Kingdom,Power generation/non-renewable sources,10098161.0
71,Colombia,United States,Air transport,221288646.0
72,Colombia,United States,Industrial development,789030171.0
73,Colombia,United States,Power generation/non-renewable sources,1530577061.0
74,Colombia,United States,Rail transport,154388.0
136,Poland,Belgium,RESCHEDULING AND REFINANCING,797173879.0
137,Poland,Canada,Air transport,1476778.0
138,Poland,Canada,Industrial development,3662485.0
139,Poland,Canada,Power generation/non-renewable sources,56107.0
140,Poland,Finland,Industrial development,6313047.0
141,Poland,France,Industrial development,2174876.0
142,Poland,France,Rail transport,1262932.0
143,Poland,Germany,RESCHEDULING AND REFINANCING,13905028436.0
144,Poland,Italy,Industrial development,5914647.0
145,Poland,Italy,Rail transport,1342614.0
146,Poland,Sweden,Air transport,250129.0
147,Poland,Sweden,Industrial development,589007.0
148,Poland,Sweden,Rail transport,383.0
149,Poland,United Kingdom,Air transport,2702617.0
150,Poland,United Kingdom,Industrial development,37674165.0
151,Poland,United Kingdom,Rail transport,411633.0
152,Poland,United States,Air transport,815085967.0
153,Poland,United States,Industrial development,548534715.0
154,Poland,United States,Power generation/non-renewable sources,396007.0
161,South Africa,Australia,Industrial development,91287.0
162,South Africa,Belgium,Industrial development,7238.0
163,South Africa,Canada,Industrial development,26700909.0
164,South Africa,Denmark,Industrial development,4467244.0
165,South Africa,Finland,Industrial development,7517.0
166,South Africa,France,Air transport,2331311.0
167,South Africa,France,Rail transport,1034209.0
168,South Africa,Germany,Industrial development,937574.0
169,South Africa,Japan,Industrial development,185091.0
170,South Africa,Japan,Rail transport,65416241.0
171,South Africa,Netherlands,Industrial development,1380782.0
172,South Africa,Norway,Air transport,13527.0
173,South Africa,Norway,Industrial development,15424548.0
174,South Africa,Norway,Power generation/non-renewable sources,13640.0
175,South Africa,Norway,Rail transport,24172.0
176,South Africa,Sweden,Industrial development,1198432.0
177,South Africa,Sweden,Power generation/non-renewable sources,64374.0
178,South Africa,Switzerland,Industrial development,2665028.0
179,South Africa,United Kingdom,Industrial development,29567081.0
180,South Africa,United Kingdom,Power generation/non-renewable sources,68659652.0
181,South Africa,United States,Air transport,840454769.0
182,South Africa,United States,Industrial development,9681699.0
183,South Africa,United States,Power generation/non-renewable sources,1620571.0
184,South Africa,United States,Rail transport,533570.0
124,Korea,France,Industrial development,28328996.0
125,Korea,France,Rail transport,22092.0
126,Korea,Germany,Industrial development,75072695.0
127,Korea,Germany,Rail transport,29015007.0
128,Korea,Japan,Industrial development,508053866.0
129,Korea,Japan,Rail transport,903052049.0
130,Korea,United States,Air transport,5260158081.0
131,Korea,United States,Industrial development,866792664.0
132,Korea,United States,Power generation/non-renewable sources,1397886659.0
133,Korea,United States,Rail transport,105533013.0
134,Kuwait,United States,Industrial development,278059881.0
135,Kuwait,United States,Power generation/non-renewable sources,24748632.0
26,Chile,Belgium,Industrial development,522868.0
27,Chile,Canada,Industrial development,18676468.0
28,Chile,France,Air transport,859097.0
29,Chile,France,Industrial development,524894.0
30,Chile,France,Rail transport,138444885.0
31,Chile,Germany,Industrial development,12253925.0
32,Chile,Italy,Industrial development,569118.0
33,Chile,Japan,Industrial development,5379848.0
34,Chile,Japan,Rail transport,67201891.0
35,Chile,Korea,Air transport,28586.0
36,Chile,Norway,Industrial development,392917.0
37,Chile,Spain,Air transport,20706.0
38,Chile,Spain,Industrial development,2505456.0
39,Chile,Sweden,Industrial development,1084383.0
40,Chile,Switzerland,Industrial development,1984348.0
41,Chile,United States,Air transport,777158312.0
42,Chile,United States,Industrial development,675643062.0
43,Chile,United States,Power generation/non-renewable sources,67384606.0
44,Chile,United States,Rail transport,16601.0
155,Saudi Arabia,Austria,Industrial development,203662.0
156,Saudi Arabia,Japan,Industrial development,222224525.0
157,Saudi Arabia,United States,Air transport,3423114025.0
158,Saudi Arabia,United States,Industrial development,254167658.0
159,Saudi Arabia,United States,Power generation/non-renewable sources,126190249.0
160,Saudi Arabia,United States,Rail transport,386553.0
